VBIN,ALL,MWS
-397.7142857142857,457,304
-393.1428571428571,474,339
-388.57142857142856,528,356
-384.0,634,434
-379.42857142857144,694,491
-374.8571428571429,725,467
-370.2857142857143,841,562
-365.7142857142857,883,619
-361.14285714285717,964,666
-356.57142857142856,980,690
-352.0,1137,820
-347.42857142857144,1257,899
-342.8571428571429,1312,920
-338.2857142857143,1362,978
-333.7142857142857,1503,1091
-329.14285714285717,1708,1221
-324.57142857142856,1824,1333
-320.0,1956,1388
-315.42857142857144,2047,1477
-310.8571428571429,2014,1474
-306.2857142857143,2314,1689
-301.7142857142857,2417,1795
-297.14285714285717,2490,1829
-292.57142857142856,2699,1982
-288.0,2777,2090
-283.42857142857144,2908,2214
-278.8571428571429,3152,2377
-274.2857142857143,3432,2539
-269.7142857142857,3529,2702
-265.14285714285717,3676,2757
-260.5714285714286,3909,2993
-256.0,3991,3075
-251.42857142857144,4377,3368
-246.85714285714286,4652,3591
-242.28571428571428,4836,3645
-237.71428571428572,5105,3931
-233.14285714285717,5223,4094
-228.57142857142858,5408,4225
-224.0,5777,4504
-219.42857142857144,6201,4885
-214.8571428571429,6502,5135
-210.28571428571428,6813,5373
-205.71428571428572,7099,5590
-201.14285714285717,7375,5861
-196.57142857142858,7718,6177
-192.0,8163,6464
-187.42857142857144,8672,6920
-182.8571428571429,9215,7341
-178.28571428571428,9708,7746
-173.71428571428572,10269,8163
-169.14285714285717,10766,8589
-164.57142857142858,11286,9140
-160.0,11880,9647
-155.42857142857144,12464,10161
-150.8571428571429,13220,10851
-146.28571428571428,14032,11572
-141.71428571428572,14614,12027
-137.14285714285717,15714,13110
-132.57142857142858,16569,13906
-128.0,17721,15001
-123.42857142857144,18677,15787
-118.85714285714289,19969,17211
-114.2857142857143,21341,18388
-109.71428571428572,23005,19989
-105.14285714285717,25201,21993
-100.57142857142858,26971,23613
-96.0,29726,26166
-91.42857142857144,32322,28794
-86.85714285714289,35563,31768
-82.2857142857143,39161,35162
-77.71428571428572,43386,39068
-73.14285714285717,48441,43863
-68.57142857142858,54090,49168
-64.0,59051,53915
-59.428571428571445,65088,59431
-54.85714285714289,71596,65594
-50.285714285714306,78912,72329
-45.71428571428572,86656,79729
-41.14285714285717,94172,86746
-36.57142857142861,103230,95170
-32.00000000000003,111519,102983
-27.428571428571445,118980,110126
-22.85714285714289,126739,117181
-18.285714285714306,133424,123529
-13.714285714285722,137978,127743
-9.142857142857167,140627,130306
-4.571428571428612,140421,130000
-2.842170943040401e-14,140443,130211
4.571428571428555,136173,125942
9.14285714285711,131159,121457
13.714285714285694,124781,115610
18.285714285714278,116430,107627
22.857142857142833,107193,99088
27.428571428571388,99160,91545
31.99999999999997,89917,82843
36.571428571428555,82213,75642
41.14285714285711,74002,67881
45.714285714285694,67517,61850
50.28571428571428,60751,55423
54.85714285714283,54529,49504
59.42857142857139,48615,43913
63.99999999999997,43678,39447
68.57142857142856,39516,35515
73.14285714285711,34856,31166
77.7142857142857,30754,27414
82.28571428571428,27850,24720
86.85714285714283,24732,21759
91.42857142857139,22361,19615
95.99999999999997,20304,17648
100.57142857142856,18078,15572
105.14285714285711,16375,14025
109.7142857142857,15114,12843
114.28571428571428,13663,11548
118.85714285714283,12370,10387
123.42857142857139,11395,9435
127.99999999999994,10283,8549
132.5714285714285,9684,8011
137.1428571428571,8715,7125
141.71428571428572,8137,6594
146.28571428571428,7630,6153
150.85714285714283,7041,5605
155.4285714285714,6585,5220
159.99999999999994,6206,4920
164.5714285714285,5909,4712
169.1428571428571,5634,4384
173.71428571428572,5277,4117
178.28571428571428,4955,3797
182.85714285714283,4724,3629
187.4285714285714,4409,3395
191.99999999999994,4412,3336
196.5714285714285,3970,2972
201.1428571428571,3857,2907
205.71428571428572,3742,2824
210.28571428571428,3518,2586
214.85714285714283,3462,2524
219.4285714285714,3295,2374
223.99999999999994,3248,2327
228.5714285714285,3009,2211
233.1428571428571,2960,2173
237.71428571428572,2785,2013
242.28571428571428,2615,1888
246.85714285714283,2445,1768
251.4285714285714,2372,1720
255.99999999999994,2280,1617
260.5714285714285,2182,1580
265.1428571428571,2036,1466
269.7142857142857,2018,1483
274.2857142857143,1908,1357
278.85714285714283,1767,1256
283.4285714285714,1740,1238
287.99999999999994,1646,1184
292.5714285714285,1580,1115
297.1428571428571,1503,1039
301.7142857142857,1402,954
306.2857142857143,1283,878
310.85714285714283,1217,827
315.4285714285714,1240,873
319.99999999999994,1163,819
324.5714285714285,1025,713
329.14285714285705,1005,699
333.71428571428567,878,611
338.2857142857143,833,565
342.85714285714283,772,524
347.4285714285714,690,495
351.99999999999994,693,484
356.5714285714285,563,393
361.14285714285705,507,344
365.71428571428567,512,364
370.2857142857143,476,334
374.85714285714283,422,304
379.4285714285714,402,292
383.99999999999994,329,213
388.5714285714285,307,230
393.14285714285705,275,186
397.71428571428567,238,163
