ZBIN,ALL,QSO
-0.04782857142857143,0,0
-0.023485714285714287,0,0
0.0008571428571428584,0,0
0.0252,0,0
0.04954285714285714,285,84
0.07388571428571428,1035,210
0.09822857142857143,1253,153
0.12257142857142857,1824,177
0.14691428571428572,2339,167
0.17125714285714283,3016,176
0.1956,3630,199
0.21994285714285713,4247,253
0.24428571428571427,4888,283
0.26862857142857144,4794,326
0.29297142857142855,4756,407
0.31731428571428566,4558,528
0.3416571428571429,4785,673
0.366,5248,962
0.3903428571428571,5701,1099
0.41468571428571427,5133,1287
0.43902857142857143,5332,1504
0.46337142857142855,5415,1759
0.48771428571428566,5399,2061
0.5120571428571429,4080,2064
0.5364,4696,2424
0.5607428571428571,5160,2830
0.5850857142857143,5638,3273
0.6094285714285714,5982,3645
0.6337714285714285,6488,4012
0.6581142857142857,7108,4532
0.6824571428571428,7768,5151
0.7068,8571,5742
0.7311428571428571,9128,6506
0.7554857142857142,9779,6983
0.7798285714285714,10272,7593
0.8041714285714285,10957,8210
0.8285142857142856,11379,8552
0.8528571428571429,11567,8939
0.8772,11938,9834
0.9015428571428571,12196,10285
0.9258857142857143,12745,10717
0.9502285714285714,13240,11229
0.9745714285714285,13737,11845
0.9989142857142856,13948,12391
1.0232571428571426,14703,13229
1.0475999999999999,14983,13717
1.071942857142857,15177,13984
1.096285714285714,15343,14191
1.1206285714285713,15728,14646
1.1449714285714285,16455,15388
1.1693142857142855,17153,16146
1.1936571428571428,17207,16210
1.218,17789,16819
1.242342857142857,17959,17080
1.2666857142857142,17941,17141
1.2910285714285714,18609,17765
1.3153714285714284,18241,17540
1.3397142857142856,17971,17358
1.3640571428571429,18234,17549
1.3883999999999999,18136,17454
1.4127428571428569,19016,18180
1.4370857142857143,19688,18875
1.4614285714285713,19671,18849
1.4857714285714283,19946,19066
1.5101142857142857,20688,19730
1.5344571428571427,20475,19544
1.5587999999999997,20963,19886
1.5831428571428572,20996,19835
1.6074857142857142,19320,18362
1.6318285714285712,20471,19342
1.6561714285714284,21407,20112
1.6805142857142856,20570,19324
1.7048571428571426,21031,19633
1.7291999999999998,20231,18818
1.753542857142857,20913,19425
1.777885714285714,21009,19525
1.8022285714285713,20227,18800
1.8265714285714285,19807,18396
1.8509142857142855,19986,18482
1.8752571428571427,19232,17645
1.8996,19473,17895
1.923942857142857,19281,17650
1.9482857142857144,19248,17570
1.9726285714285714,17927,16270
1.9969714285714284,18044,16370
2.0213142857142854,17431,15902
2.045657142857143,17529,15808
2.07,17175,15491
2.0943428571428573,16684,15046
2.1186857142857143,17039,15317
2.1430285714285713,16491,14815
2.1673714285714283,16131,14407
2.1917142857142853,15472,13745
2.2160571428571427,15532,13756
2.2403999999999997,14980,13323
2.264742857142857,14679,12978
2.289085714285714,14324,12557
2.313428571428571,14233,12443
2.337771428571428,13033,11393
2.3621142857142856,13038,11340
2.3864571428571426,12890,11248
2.4108,12391,10808
2.435142857142857,11889,10370
2.459485714285714,11528,9988
2.483828571428571,11259,9764
2.5081714285714285,10712,9299
2.5325142857142855,10467,9125
2.556857142857143,9453,8360
2.5812,8747,7800
2.605542857142857,8317,7499
2.629885714285714,8224,7463
2.6542285714285714,7875,7191
2.6785714285714284,7493,6960
2.702914285714286,6953,6451
2.727257142857143,6728,6249
2.7516,6607,6093
2.775942857142857,6391,5895
2.800285714285714,6317,5607
2.8246285714285713,6212,5702
2.8489714285714283,5884,5426
2.8733142857142857,5655,5214
2.8976571428571427,5420,5018
2.9219999999999997,5039,4670
2.9463428571428567,4825,4492
2.970685714285714,4647,4309
2.995028571428571,4385,4072
3.0193714285714286,4129,3815
3.0437142857142856,3981,3697
3.0680571428571426,3766,3473
3.0923999999999996,3624,3364
3.116742857142857,3219,3020
3.141085714285714,3112,2925
3.1654285714285715,2953,2782
3.1897714285714285,2734,2564
3.2141142857142855,2726,2560
3.2384571428571425,2615,2452
3.2628,2505,2343
3.287142857142857,2246,2106
3.3114857142857144,2176,2027
3.3358285714285714,2086,1936
3.3601714285714284,1920,1769
3.3845142857142854,1778,1623
3.4088571428571424,1557,1422
3.4332,1471,1352
3.457542857142857,1330,1189
3.4818857142857143,1210,1073
3.5062285714285713,1055,931
3.5305714285714282,1022,890
3.5549142857142852,932,807
3.5792571428571427,853,750
3.6035999999999997,934,819
3.627942857142857,818,722
3.652285714285714,789,695
3.676628571428571,848,765
3.700971428571428,796,707
3.7253142857142856,767,687
3.7496571428571426,686,602
3.774,682,607
3.798342857142857,720,612
3.822685714285714,702,531
3.847028571428571,662,551
3.8713714285714285,533,445
3.8957142857142855,592,503
3.920057142857143,564,448
3.9444,490,424
3.968742857142857,423,370
3.993085714285715,467,400
4.017428571428572,409,348
4.041771428571429,390,314
4.066114285714286,324,264
4.090457142857143,294,237
4.114800000000001,323,258
4.139142857142858,253,188
4.163485714285715,217,160
4.187828571428572,217,158
